X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities
-73.95613449,40.79408239,37F-PM-1014-03,37F,PM,10142018,3,,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
-73.95704377,40.79485094,37E-PM-1006-03,37E,PM,10062018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,
-73.97683118,40.76671781,2E-AM-1010-03,02E,AM,10102018,3,Adult,Cinnamon,,Cinnamon+,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,
